CustomerID,Country,last_purchase,frequency,monetary,recency,R,F,M,RFM_Score,rfm_segment
12398,Switzerland,2011-10-25 10:27:00,1,1635.66,66,3,1,4,8,Potential Loyalists
12399,Belgium,2011-08-12 13:15:00,4,1108.65,140,2,4,4,10,At Risk
12401,Belgium,2011-02-09 13:50:00,1,84.3,324,1,1,1,3,Hibernating
12402,Belgium,2011-01-20 13:49:00,1,225.6,344,1,1,1,3,Hibernating
12403,Denmark,2011-10-21 10:51:00,1,427.7,70,3,1,2,6,Needs Attention
12405,Finland,2011-07-14 08:52:00,1,1710.39,169,2,1,4,7,Hibernating
12406,Denmark,2011-11-17 19:22:00,2,3415.3,43,4,2,5,11,New Customers
12407,Belgium,2011-10-21 10:11:00,5,1708.12,70,3,4,4,11,Loyal Customers
12408,Belgium,2011-11-07 12:27:00,5,2888.55,53,4,4,5,13,Champions
12409,Switzerland,2011-09-22 10:38:00,3,11072.67,99,2,3,5,10,At Risk
12410,Switzerland,2011-02-04 10:39:00,2,693.33,329,1,2,3,6,Hibernating
12412,Denmark,2011-09-26 10:16:00,3,1226.88,95,2,3,4,9,At Risk
12413,France,2011-10-04 09:00:00,3,758.1,87,3,3,3,9,Loyal Customers
12414,Austria,2011-05-06 14:51:00,3,562.41,238,1,3,3,7,At Risk
12415,Australia,2011-11-15 14:22:00,21,124914.53,45,4,5,5,14,Champions
12417,Belgium,2011-12-06 14:52:00,9,3649.1,24,5,5,5,15,Champions
12418,Switzerland,2011-08-19 11:08:00,1,668.58,133,2,1,3,6,Hibernating
12420,Cyprus,2011-10-07 08:55:00,1,600.39,84,3,1,3,7,Potential Loyalists
12421,Spain,2011-11-24 09:07:00,4,807.04,36,4,4,3,11,Loyal Customers
12422,Australia,2011-09-05 09:48:00,3,803.56,116,2,3,3,8,At Risk
12423,Belgium,2011-12-09 10:10:00,8,1859.31,21,5,5,4,14,Champions
12424,Australia,2011-06-30 12:06:00,2,1760.96,183,2,2,4,8,Hibernating
12425,Portugal,2011-09-22 17:31:00,1,777.2,99,2,1,3,6,Hibernating
12426,Germany,2011-05-29 12:26:00,1,582.73,215,1,1,3,5,Hibernating
12427,Germany,2011-11-18 08:56:00,3,825.8,42,4,3,3,10,Loyal Customers
12428,Finland,2011-11-14 08:22:00,9,7956.46,46,4,5,5,14,Champions
12429,Denmark,2011-11-30 17:22:00,4,3750.4,30,5,4,5,14,Champions
12430,Norway,2011-10-27 15:09:00,1,256.4,64,3,1,2,6,Needs Attention
12431,Australia,2011-11-04 11:55:00,15,6487.45,56,3,5,5,13,Loyal Customers
12432,Norway,2011-10-28 11:43:00,5,5059.32,63,3,4,5,12,Loyal Customers
12433,Norway,2011-12-09 10:02:00,7,13375.87,21,5,5,5,15,Champions
12434,Australia,2011-09-16 12:38:00,2,806.14,105,2,2,3,7,Hibernating
12435,Denmark,2011-09-21 09:06:00,2,7829.89,100,2,2,5,9,Hibernating
12436,Norway,2011-09-01 12:09:00,1,509.01,120,2,1,3,6,Hibernating
12437,France,2011-12-08 11:35:00,18,4951.41,22,5,5,5,15,Champions
12438,Norway,2011-11-25 13:28:00,2,2906.85,35,4,2,5,11,New Customers
12441,France,2010-12-08 10:45:00,1,173.55,387,1,1,1,3,Hibernating
12442,Spain,2011-12-06 14:22:00,1,172.06,24,5,1,1,7,New Customers
12444,Norway,2011-11-18 13:23:00,5,5005.46,42,4,4,5,13,Champions
12445,Spain,2011-11-17 18:43:00,1,133.4,43,4,1,1,6,New Customers
12446,RSA,2011-10-13 12:50:00,1,1002.31,78,3,1,4,8,Potential Loyalists
12447,Belgium,2011-04-10 13:25:00,1,476.49,264,1,1,2,4,Hibernating
12448,Spain,2011-10-26 13:46:00,1,449.45,65,3,1,2,6,Needs Attention
12449,Belgium,2011-11-17 13:46:00,4,4067.29,43,4,4,5,13,Champions
12450,Spain,2011-07-06 14:41:00,2,197.88,177,2,2,1,5,Hibernating
12451,Switzerland,2011-11-29 08:40:00,5,9035.52,31,5,4,5,14,Champions
12452,Switzerland,2011-11-23 10:28:00,2,430.57,37,4,2,2,8,New Customers
12453,Austria,2011-07-28 14:08:00,1,707.09,155,2,1,3,6,Hibernating
12454,Spain,2011-10-14 17:13:00,1,3528.34,77,3,1,5,9,Potential Loyalists
12455,Spain,2011-09-27 15:31:00,6,2466.86,94,2,4,5,11,At Risk
12456,Switzerland,2011-10-26 14:41:00,3,3181.04,65,3,3,5,11,Loyal Customers
12457,Cyprus,2011-10-04 13:13:00,7,2363.23,87,3,5,5,13,Loyal Customers
12458,Switzerland,2011-09-29 15:25:00,2,947.4,92,3,2,4,9,Potential Loyalists
12461,Switzerland,2011-09-06 16:57:00,2,826.88,115,2,2,3,7,Hibernating
12462,Spain,2011-11-21 09:11:00,2,1189.59,39,4,2,4,10,New Customers
12463,Belgium,2011-10-17 13:44:00,4,1344.78,74,3,4,4,11,Loyal Customers
12464,Belgium,2011-11-29 13:33:00,8,1212.05,31,5,5,4,14,Champions
12465,Belgium,2011-11-22 16:34:00,2,742.19,38,4,2,3,9,New Customers
12468,Germany,2011-06-05 11:36:00,2,729.54,208,1,2,3,6,Hibernating
12471,Germany,2011-12-07 15:43:00,30,19824.05,23,5,5,5,15,Champions
12472,Germany,2011-11-07 14:01:00,7,6572.11,53,4,5,5,14,Champions
12473,Germany,2011-11-10 13:46:00,5,3938.55,50,4,4,5,13,Champions
12474,Germany,2011-11-22 14:39:00,18,7375.79,38,4,5,5,14,Champions
12475,Germany,2011-10-17 10:10:00,1,723.38,74,3,1,3,7,Potential Loyalists
12476,Germany,2011-11-24 12:40:00,11,6816.42,36,4,5,5,14,Champions
12477,Germany,2011-11-17 09:51:00,6,13219.74,43,4,4,5,13,Champions
12478,Greece,2011-12-06 09:56:00,1,680.99,24,5,1,3,9,New Customers
12479,Germany,2011-11-28 13:26:00,1,527.2,32,5,1,3,9,New Customers
12480,Germany,2011-11-11 14:52:00,4,3281.63,49,4,4,5,13,Champions
12481,Germany,2011-11-17 08:29:00,10,5596.32,43,4,5,5,14,Champions
12483,Sweden,2011-11-22 17:02:00,8,2484.98,38,4,5,5,14,Champions
12484,Spain,2011-11-07 11:37:00,6,4541.72,53,4,4,5,13,Champions
12488,France,2011-11-30 08:50:00,3,1298.66,30,5,3,4,12,Loyal Customers
12489,France,2011-01-07 13:13:00,1,334.93,357,1,1,2,4,Hibernating
12490,France,2011-12-04 16:07:00,10,5417.93,26,5,5,5,15,Champions
12491,France,2011-11-01 12:18:00,1,460.4,59,3,1,2,6,Needs Attention
12492,Germany,2011-10-07 15:15:00,2,263.21,84,3,2,2,7,Needs Attention
12493,France,2011-06-27 10:17:00,2,433.74,186,2,2,2,6,Hibernating
12494,France,2011-11-24 09:34:00,7,1246.1,36,4,5,4,13,Champions
12497,Germany,2011-09-19 12:29:00,1,1043.1,102,2,1,4,7,Hibernating
12498,Germany,2011-11-18 12:53:00,3,403.7,42,4,3,2,9,Loyal Customers
12500,Germany,2011-11-16 16:20:00,11,4257.82,44,4,5,5,14,Champions
12501,Germany,2011-01-07 12:28:00,1,2169.39,357,1,1,5,7,Hibernating
12502,Spain,2011-09-05 11:52:00,5,3723.87,116,2,4,5,11,At Risk
12504,Germany,2011-11-21 16:02:00,2,482.05,39,4,2,2,8,New Customers
12506,France,2011-04-21 08:54:00,1,73.5,253,1,1,1,3,Hibernating
12507,Spain,2011-07-28 17:09:00,3,1304.81,155,2,3,4,9,At Risk
12508,France,2011-11-13 15:37:00,2,398.27,47,4,2,2,8,New Customers
12509,France,2011-02-28 14:45:00,1,176.5,305,1,1,1,3,Hibernating
12510,Spain,2011-07-20 10:15:00,2,982.57,163,2,2,4,8,Hibernating
12512,Israel,2011-10-04 14:55:00,2,138.03,87,3,2,1,6,Needs Attention
12513,France,2011-08-19 10:51:00,1,612.29,133,2,1,3,6,Hibernating
12514,Italy,2011-03-17 16:38:00,1,1017.68,288,1,1,4,6,Hibernating
12515,Italy,2010-12-21 15:43:00,1,383.7,374,1,1,2,4,Hibernating
12516,Germany,2011-09-23 09:13:00,2,1312.06,98,2,2,4,8,Hibernating
12517,Germany,2011-11-11 14:04:00,5,2502.84,49,4,4,5,13,Champions
12518,Germany,2011-12-09 10:13:00,5,2056.89,21,5,4,4,13,Champions
12519,Germany,2011-10-07 09:26:00,1,340.84,84,3,1,2,6,Needs Attention
12520,Germany,2011-09-21 15:23:00,5,2634.26,100,2,4,5,11,At Risk
12521,Germany,2011-07-20 10:51:00,1,599.68,163,2,1,3,6,Hibernating
12522,Germany,2011-10-31 15:30:00,2,192.72,60,3,2,1,6,Needs Attention
12523,France,2011-11-20 12:55:00,11,1789.77,40,4,5,4,13,Champions
12524,Germany,2011-11-30 15:31:00,8,4485.72,30,5,5,5,15,Champions
12526,Germany,2011-12-09 12:09:00,3,1316.66,21,5,3,4,12,Loyal Customers
12527,Germany,2011-09-19 11:55:00,3,348.71,102,2,3,2,7,At Risk
12528,Germany,2011-11-30 14:40:00,6,1933.48,30,5,5,4,14,Champions
12530,Germany,2011-10-11 12:34:00,4,1662.28,80,3,4,4,11,Loyal Customers
12531,Germany,2011-11-25 11:12:00,1,125.22,35,4,1,1,6,New Customers
12532,France,2011-11-09 13:47:00,1,349.83,51,4,1,2,7,New Customers
12534,Germany,2011-08-01 10:26:00,1,1089.18,151,2,1,4,7,Hibernating
12535,France,2011-09-09 08:48:00,2,716.35,112,2,2,3,7,Hibernating
12536,France,2011-10-27 14:20:00,3,12601.83,64,3,3,5,11,Loyal Customers
12538,Spain,2011-11-10 17:16:00,1,363.95,50,4,1,2,7,New Customers
12539,Spain,2011-11-17 13:30:00,4,5568.35,43,4,4,5,13,Champions
12540,Spain,2011-11-20 11:31:00,17,13400.24,40,4,5,5,14,Champions
12541,Spain,2011-11-10 10:40:00,3,981.18,50,4,3,4,11,Loyal Customers
12544,Spain,2011-11-03 16:15:00,1,372.7,57,3,1,2,6,Needs Attention
12545,Spain,2011-09-25 13:39:00,2,1000.39,96,2,2,4,8,Hibernating
12546,Spain,2011-10-24 12:09:00,2,1161.5,67,3,2,4,9,Potential Loyalists
12547,Spain,2011-05-26 12:38:00,2,207.8,218,1,2,1,4,Hibernating
12548,Spain,2011-06-26 15:35:00,1,95.2,187,2,1,1,4,Hibernating
12550,Spain,2011-09-21 14:35:00,1,964.83,100,2,1,4,7,Hibernating
12551,Spain,2010-12-17 11:23:00,1,168.0,378,1,1,1,3,Hibernating
12552,Italy,2011-11-01 10:02:00,2,437.82,59,3,2,2,7,Needs Attention
12553,France,2011-12-01 16:38:00,10,3692.28,29,5,5,5,15,Champions
12556,Spain,2011-10-20 13:06:00,2,603.71,71,3,2,3,8,Potential Loyalists
12557,Spain,2011-11-23 16:59:00,5,11990.96,37,4,4,5,13,Champions
12558,USA,2011-12-02 10:41:00,1,269.96,28,5,1,2,8,New Customers
12559,Germany,2011-02-02 09:49:00,2,561.71,331,1,2,3,6,Hibernating
12560,Germany,2011-12-04 13:54:00,3,2134.01,26,5,3,5,13,Loyal Customers
12561,Germany,2011-02-10 11:39:00,1,238.85,323,1,1,1,3,Hibernating
12562,France,2011-12-01 17:20:00,7,3781.74,29,5,5,5,15,Champions
12564,France,2011-03-23 14:55:00,1,456.9,282,1,1,2,4,Hibernating
12565,Saudi Arabia,2011-02-24 10:34:00,1,145.92,309,1,1,1,3,Hibernating
12566,Germany,2011-09-14 14:30:00,1,351.65,107,2,1,2,5,Hibernating
12567,France,2011-11-17 11:02:00,10,9401.28,43,4,5,5,14,Champions
12569,Germany,2011-12-07 16:24:00,32,4124.69,23,5,5,5,15,Champions
12571,France,2011-10-31 10:19:00,2,519.61,60,3,2,3,8,Potential Loyalists
12572,Germany,2011-12-01 09:20:00,2,1020.42,29,5,2,4,11,New Customers
12573,France,2011-04-26 15:52:00,1,160.54,248,1,1,1,3,Hibernating
12574,France,2011-01-28 09:20:00,1,218.45,336,1,1,1,3,Hibernating
12576,Poland,2011-11-04 10:11:00,5,1315.83,56,3,4,4,11,Loyal Customers
12577,France,2011-11-04 13:24:00,3,657.8,56,3,3,3,9,Loyal Customers
12578,Italy,2011-11-18 13:30:00,2,2794.51,42,4,2,5,11,New Customers
12579,France,2011-09-22 17:15:00,1,440.42,99,2,1,2,5,Hibernating
12580,Germany,2011-04-07 10:24:00,1,415.7,267,1,1,2,4,Hibernating
12581,Germany,2011-10-31 08:56:00,1,197.71,60,3,1,1,5,Needs Attention
12582,Finland,2011-04-15 08:45:00,2,511.36,259,1,2,3,6,Hibernating
12583,France,2011-12-07 08:07:00,15,7281.38,23,5,5,5,15,Champions
12584,Italy,2011-12-06 09:35:00,9,2338.15,24,5,5,5,15,Champions
12585,Germany,2011-04-19 13:39:00,2,2040.1,255,1,2,4,7,Hibernating
12586,Italy,2011-11-22 16:24:00,1,196.94,38,4,1,1,6,New Customers
12587,Finland,2011-12-02 12:47:00,1,144.0,28,5,1,1,7,New Customers
12588,Finland,2011-10-31 15:01:00,1,214.9,60,3,1,1,5,Needs Attention
12589,France,2011-11-11 10:19:00,2,646.68,49,4,2,3,9,New Customers
12590,Germany,2011-05-12 14:52:00,2,9864.26,232,1,2,5,8,Hibernating
12591,Italy,2011-01-26 14:35:00,1,452.85,338,1,1,2,4,Hibernating
12592,Germany,2011-09-08 15:04:00,2,437.6,113,2,2,2,6,Hibernating
12593,France,2011-08-23 12:43:00,3,418.1,129,2,3,2,7,At Risk
12594,Italy,2011-11-02 12:20:00,10,3338.22,58,3,5,5,13,Loyal Customers
12596,Spain,2011-10-19 13:02:00,2,618.27,72,3,2,3,8,Potential Loyalists
12597,Spain,2011-11-20 13:33:00,4,3811.22,40,4,4,5,13,Champions
12598,France,2011-11-30 12:18:00,8,3023.08,30,5,5,5,15,Champions
12599,France,2011-11-10 13:34:00,7,1032.58,50,4,5,4,13,Champions
12600,Germany,2011-11-11 10:29:00,10,2599.04,49,4,5,5,14,Champions
12601,Germany,2011-06-03 10:17:00,5,577.06,210,1,4,3,8,At Risk
12602,France,2011-10-12 11:22:00,1,153.12,79,3,1,1,5,Needs Attention
12603,Germany,2011-11-18 10:42:00,1,739.2,42,4,1,3,8,New Customers
12604,France,2011-09-21 14:08:00,2,254.18,100,2,2,2,6,Hibernating
12607,USA,2011-10-10 16:06:00,1,1579.51,81,3,1,4,8,Potential Loyalists
12609,Germany,2011-09-22 16:34:00,3,1126.85,99,2,3,4,9,At Risk
12610,Italy,2011-11-17 09:34:00,5,2099.54,43,4,4,5,13,Champions
12611,Italy,2011-10-18 13:12:00,1,1193.32,73,3,1,4,8,Potential Loyalists
12612,Germany,2011-09-26 15:35:00,1,704.04,95,2,1,3,6,Hibernating
12613,Germany,2011-10-13 14:59:00,5,3344.38,78,3,4,5,12,Loyal Customers
12614,Germany,2011-03-07 10:22:00,1,315.6,298,1,1,2,4,Hibernating
12615,France,2011-12-07 15:02:00,4,2291.19,23,5,4,5,14,Champions
12616,France,2011-09-05 15:17:00,2,713.3,116,2,2,3,7,Hibernating
12617,France,2011-11-10 14:39:00,1,355.53,50,4,1,2,7,New Customers
12618,Italy,2011-11-18 11:10:00,1,177.31,42,4,1,1,6,New Customers
12619,Germany,2011-11-23 14:52:00,9,3641.24,37,4,5,5,14,Champions
12620,France,2011-11-25 10:20:00,3,1339.41,35,4,3,4,11,Loyal Customers
12621,Germany,2011-12-08 11:25:00,20,13689.67,22,5,5,5,15,Champions
12622,Germany,2011-04-21 16:39:00,1,180.1,253,1,1,1,3,Hibernating
12623,Germany,2011-03-08 13:50:00,1,305.1,297,1,1,2,4,Hibernating
12624,France,2011-08-25 15:04:00,2,641.13,127,2,2,3,7,Hibernating
12625,Germany,2011-05-12 09:54:00,2,2683.82,232,1,2,5,8,Hibernating
12626,Germany,2011-11-16 16:06:00,9,6620.48,44,4,5,5,14,Champions
12627,Germany,2011-11-29 12:07:00,7,4478.53,31,5,5,5,15,Champions
12628,Germany,2011-12-05 13:15:00,3,786.46,25,5,3,3,11,Loyal Customers
12630,Finland,2011-11-30 10:48:00,2,1270.88,30,5,2,4,11,New Customers
12631,Finland,2011-10-13 13:53:00,1,640.5,78,3,1,3,7,Potential Loyalists
12633,Germany,2011-10-12 11:40:00,4,2163.98,79,3,4,5,12,Loyal Customers
12635,Germany,2011-09-11 11:04:00,2,1689.18,110,2,2,4,8,Hibernating
12637,France,2011-10-03 13:46:00,8,6021.9,88,3,5,5,13,Loyal Customers
12638,Sweden,2011-11-06 13:11:00,1,671.69,54,3,1,3,7,Potential Loyalists
12639,Sweden,2011-04-15 12:48:00,1,486.1,259,1,1,2,4,Hibernating
12640,France,2011-11-16 11:52:00,3,1174.58,44,4,3,4,11,Loyal Customers
12641,Sweden,2011-08-16 13:26:00,1,185.9,136,2,1,1,4,Hibernating
12642,Germany,2011-11-14 15:03:00,3,1013.26,46,4,3,4,11,Loyal Customers
12643,France,2011-08-03 12:56:00,6,3344.64,149,2,5,5,12,At Risk
12644,Germany,2011-08-02 10:33:00,1,477.91,150,2,1,2,5,Hibernating
12645,Germany,2011-11-06 12:38:00,4,1775.18,54,3,4,4,11,Loyal Customers
12646,USA,2011-12-05 10:14:00,2,1346.97,25,5,2,4,11,New Customers
12647,Germany,2011-11-17 12:56:00,12,3722.82,43,4,5,5,14,Champions
12648,Germany,2011-07-08 11:55:00,1,318.05,175,2,1,2,5,Hibernating
12649,Germany,2011-08-24 14:41:00,3,623.51,128,2,3,3,8,At Risk
12650,France,2011-12-06 16:34:00,1,314.44,24,5,1,2,8,New Customers
12651,France,2011-01-09 12:46:00,1,114.0,355,1,1,1,3,Hibernating
12652,France,2011-01-12 15:00:00,1,919.98,352,1,1,3,5,Hibernating
12653,Israel,2011-07-14 10:41:00,2,2209.85,169,2,2,5,9,Hibernating
12654,Germany,2011-11-29 10:10:00,5,601.98,31,5,4,3,12,Loyal Customers
12656,France,2011-11-22 13:42:00,5,4051.17,38,4,4,5,13,Champions
12657,France,2011-11-28 15:47:00,4,1643.18,32,5,4,4,13,Champions
12658,Germany,2011-11-21 10:22:00,1,686.05,39,4,1,3,8,New Customers
12659,France,2011-11-10 11:53:00,1,91.68,50,4,1,1,6,New Customers
12660,France,2011-11-28 13:26:00,1,245.1,32,5,1,1,7,New Customers
12662,Germany,2011-12-09 11:59:00,11,3849.78,21,5,5,5,15,Champions
12664,Finland,2011-12-01 17:07:00,9,4881.88,29,5,5,5,15,Champions
12665,Germany,2011-01-19 08:34:00,1,63.0,345,1,1,1,3,Hibernating
12667,Finland,2011-10-12 17:00:00,1,620.13,79,3,1,3,7,Potential Loyalists
12668,Germany,2011-11-28 10:56:00,4,3807.15,32,5,4,5,14,Champions
12669,France,2011-07-12 09:54:00,3,2744.03,171,2,3,5,10,At Risk
12670,France,2011-11-29 15:23:00,5,2996.05,31,5,4,5,14,Champions
12672,France,2011-01-14 09:20:00,1,225.9,350,1,1,1,3,Hibernating
12673,Germany,2011-12-04 13:55:00,2,610.52,26,5,2,3,10,New Customers
12674,France,2011-11-01 12:12:00,4,1970.6,59,3,4,4,11,Loyal Customers
12676,Sweden,2011-11-15 12:25:00,6,1331.39,45,4,5,4,13,Champions
12678,France,2011-10-28 13:04:00,12,17628.46,63,3,5,5,13,Loyal Customers
12679,France,2011-10-12 12:30:00,4,1113.02,79,3,4,4,11,Loyal Customers
12680,France,2011-12-09 12:50:00,4,862.81,21,5,4,3,12,Loyal Customers
12681,France,2011-11-25 11:33:00,22,13787.54,35,4,5,5,14,Champions
12682,France,2011-12-06 10:00:00,31,12288.22,24,5,5,5,15,Champions
12683,France,2011-12-05 16:31:00,15,8476.57,25,5,5,5,15,Champions
12684,France,2011-12-02 09:53:00,7,2283.63,28,5,5,5,15,Champions
12685,France,2011-11-11 13:46:00,6,2863.08,49,4,5,5,14,Champions
12686,France,2010-12-03 09:51:00,1,89.14,392,1,1,1,3,Hibernating
12688,Israel,2011-08-18 08:49:00,1,4873.81,134,2,1,5,8,Hibernating
12689,France,2011-11-14 08:31:00,2,1247.61,46,4,2,4,10,New Customers
12690,France,2011-05-18 09:09:00,1,389.01,226,1,1,2,4,Hibernating
12691,France,2011-11-11 16:49:00,6,1035.8,49,4,5,4,13,Champions
12693,Germany,2011-08-04 17:51:00,4,855.91,148,2,4,3,9,At Risk
12694,France,2011-09-30 13:06:00,2,869.67,91,3,2,3,8,Potential Loyalists
12695,France,2011-12-02 13:22:00,4,582.1,28,5,4,3,12,Loyal Customers
12697,Sweden,2011-11-11 08:47:00,3,957.59,49,4,3,4,11,Loyal Customers
12700,France,2011-12-02 10:47:00,4,4939.99,28,5,4,5,14,Champions
12701,Germany,2011-09-21 10:47:00,2,797.71,100,2,2,3,7,Hibernating
12702,Germany,2011-11-20 10:36:00,1,219.0,40,4,1,1,6,New Customers
12703,Germany,2011-09-29 17:52:00,1,283.55,92,3,1,2,6,Needs Attention
12704,Finland,2011-12-02 13:15:00,8,2340.84,28,5,5,5,15,Champions
12705,Germany,2011-11-24 13:17:00,9,6868.29,36,4,5,5,14,Champions
12707,France,2011-02-21 08:38:00,1,603.42,312,1,1,3,5,Hibernating
12708,Germany,2011-11-10 09:52:00,10,2712.91,50,4,5,5,14,Champions
12709,Germany,2011-11-24 15:38:00,15,9736.52,36,4,5,5,14,Champions
12710,Germany,2011-09-04 12:00:00,3,1149.02,117,2,3,4,9,At Risk
12712,Germany,2011-11-11 08:19:00,13,4396.13,49,4,5,5,14,Champions
12713,Germany,2011-12-09 12:16:00,1,848.55,21,5,1,3,9,New Customers
12714,France,2011-11-30 15:43:00,5,4708.86,30,5,4,5,14,Champions
12715,Sweden,2011-08-25 15:22:00,1,353.86,127,2,1,2,5,Hibernating
12716,France,2011-12-06 08:55:00,2,1053.49,24,5,2,4,11,New Customers
12717,Greece,2011-07-11 14:47:00,2,1030.98,172,2,2,4,8,Hibernating
12718,France,2011-09-29 16:38:00,1,238.25,92,3,1,1,5,Needs Attention
12719,France,2011-12-04 13:45:00,2,644.95,26,5,2,3,10,New Customers
12720,Germany,2011-12-07 08:03:00,25,5781.73,23,5,5,5,15,Champions
12721,France,2011-11-08 12:13:00,6,2656.13,52,4,5,5,14,Champions
12722,France,2011-09-15 14:50:00,4,997.63,106,2,4,4,10,At Risk
12723,France,2011-12-06 10:19:00,5,725.07,24,5,4,3,12,Loyal Customers
12724,France,2011-12-04 16:02:00,4,1031.41,26,5,4,4,13,Champions
12725,Italy,2010-12-03 15:45:00,1,427.8,392,1,1,2,4,Hibernating
12726,France,2011-11-11 13:35:00,7,2609.1,49,4,5,5,14,Champions
12727,France,2011-11-29 11:46:00,7,3980.7,31,5,5,5,15,Champions
12728,France,2011-09-29 15:31:00,4,836.33,92,3,4,3,10,Loyal Customers
12729,France,2011-08-18 11:40:00,1,453.01,134,2,1,2,5,Hibernating
12731,France,2011-11-16 11:59:00,12,18895.91,44,4,5,5,14,Champions
12732,France,2011-06-13 11:33:00,1,236.26,200,2,1,1,4,Hibernating
12733,USA,2011-04-19 16:19:00,1,383.95,255,1,1,2,4,Hibernating
12734,France,2010-12-22 12:47:00,1,110.4,373,1,1,1,3,Hibernating
12735,France,2011-01-28 13:37:00,2,779.57,336,1,2,3,6,Hibernating
12736,France,2011-01-11 07:57:00,1,234.0,353,1,1,1,3,Hibernating
12738,Germany,2010-12-02 18:27:00,1,155.35,393,1,1,1,3,Hibernating
12739,United Arab Emirates,2011-09-22 13:00:00,2,1013.04,99,2,2,4,8,Hibernating
12740,France,2011-10-07 10:44:00,1,427.6,84,3,1,2,6,Needs Attention
12743,Unspecified,2011-07-28 16:21:00,2,546.43,155,2,2,3,7,Hibernating
12744,Singapore,2011-10-19 11:18:00,7,21279.29,72,3,5,5,13,Loyal Customers
12747,United Kingdom,2011-12-07 14:34:00,11,4196.01,23,5,5,5,15,Champions
12748,United Kingdom,2011-12-09 12:20:00,209,33719.73,21,5,5,5,15,Champions
12749,United Kingdom,2011-12-06 09:56:00,5,4090.88,24,5,4,5,14,Champions
12750,Poland,2011-08-03 09:13:00,1,275.88,149,2,1,2,5,Hibernating
12752,Norway,2011-09-19 13:32:00,1,4366.78,102,2,1,5,8,Hibernating
